acceleration_in_x,acceleration_in_y,acceleration_in_z
-736.8,-41.0,-718.3000000000001
-739.7,-42.0,-720.1999999999999
-737.8,-43.0,-721.7
-736.3,-43.5,-717.8
-737.3,-43.0,-718.3000000000001
-736.3,-42.0,-718.8
-735.8,-43.0,-718.8
-738.8000000000001,-42.0,-716.8
-737.3,-42.0,-714.8
-737.3,-43.0,-715.3000000000001
-735.4000000000001,-43.0,-715.3000000000001
-736.8,-43.5,-714.8
-737.8,-43.0,-717.8
-738.8000000000001,-42.5,-713.4000000000001
-737.3,-40.5,-715.3000000000001
-736.8,-41.0,-716.3000000000001
-738.8000000000001,-41.5,-717.8
-737.3,-42.5,-718.3000000000001
-736.8,-43.0,-721.7
-735.8,-43.0,-715.3000000000001
-736.8,-43.9,-714.4000000000001
-735.8,-42.0,-716.3000000000001
-737.3,-40.5,-718.3000000000001
-735.4000000000001,-41.0,-716.3000000000001
-734.9,-41.0,-715.3000000000001
-735.4000000000001,-42.5,-713.9
-736.3,-41.0,-714.8
-737.3,-41.0,-717.8
-736.3,-43.0,-717.3000000000001
-737.3,-43.0,-719.1999999999999
-737.3,-42.0,-718.8
-735.4000000000001,-41.0,-717.8
-737.3,-43.0,-717.8
-738.3,-42.0,-720.7
-738.3,-42.5,-721.1999999999999
-737.3,-43.0,-721.1999999999999
-737.8,-43.5,-718.3000000000001
-737.3,-41.0,-719.1999999999999
-737.3,-42.0,-717.3000000000001
-737.3,-43.0,-716.3000000000001
-735.4000000000001,-42.0,-719.1999999999999
-736.3,-41.5,-718.8
-737.3,-44.4,-717.3000000000001
-739.3,-43.5,-718.8
-738.3,-43.0,-716.8
-737.8,-43.9,-718.8
-738.8000000000001,-43.9,-717.8
-736.8,-41.0,-718.3000000000001
-738.3,-43.0,-718.8
-738.3,-43.5,-716.8
-737.3,-40.5,-715.8
-735.8,-40.5,-719.7
-736.8,-42.0,-719.7
-737.3,-43.0,-717.8
-738.3,-43.9,-717.3000000000001
-737.8,-42.5,-717.3000000000001
-736.3,-41.5,-715.8
-736.3,-43.5,-717.3000000000001
-736.8,-42.5,-716.3000000000001
-736.8,-42.0,-716.3000000000001
-737.8,-43.0,-715.8
-738.8000000000001,-42.5,-714.4000000000001
-738.8000000000001,-41.5,-717.3000000000001
-738.3,-42.5,-715.8
-738.3,-42.0,-718.8
-737.8,-43.9,-721.1999999999999
-736.8,-43.0,-717.3000000000001
-736.8,-43.0,-716.8
-734.9,-42.5,-714.4000000000001
-736.8,-43.5,-714.8
-737.3,-43.5,-715.8
-736.3,-43.0,-717.3000000000001
-738.8000000000001,-41.0,-718.8
-737.8,-43.0,-715.3000000000001
-737.3,-44.4,-715.3000000000001
-738.3,-43.9,-719.7
-737.3,-43.0,-716.3000000000001
-738.3,-42.0,-716.8
-736.8,-42.5,-721.7
-737.8,-43.5,-722.7
-736.8,-43.5,-718.8
-738.8000000000001,-41.0,-716.8
-737.8,-42.0,-718.8
-736.8,-42.5,-713.9
-737.8,-43.0,-716.8
-736.8,-42.0,-717.8
