acceleration_in_x,acceleration_in_y,acceleration_in_z
716.3000000000001,3.4,-740.1999999999999
717.8,2.4,-741.1999999999999
719.1999999999999,3.9,-740.7
718.8,3.4,-737.8
717.8,2.4,-740.1999999999999
717.3000000000001,1.5,-737.8
715.8,1.0,-739.3
717.3000000000001,0.5,-739.3
718.3000000000001,2.0,-740.1999999999999
719.1999999999999,0.5,-739.3
717.3000000000001,2.0,-738.3
718.3000000000001,1.5,-739.3
717.8,0.5,-738.3
718.8,1.5,-740.7
717.3000000000001,1.5,-742.7
717.3000000000001,-0.0,-737.8
717.8,1.0,-738.8000000000001
717.3000000000001,0.5,-740.7
715.8,-0.0,-744.1
719.1999999999999,-0.0,-743.1999999999999
716.8,1.0,-738.3
718.8,1.5,-740.1999999999999
717.8,0.5,-738.3
718.3000000000001,-0.0,-737.3
718.8,2.0,-738.3
717.3000000000001,-0.0,-737.8
718.3000000000001,-1.0,-736.8
717.8,-0.0,-740.1999999999999
718.3000000000001,-0.0,-739.3
718.8,2.9,-737.8
717.3000000000001,1.5,-739.7
717.3000000000001,3.4,-739.7
717.3000000000001,2.9,-741.7
716.3000000000001,2.9,-737.8
716.3000000000001,3.9,-740.1999999999999
717.8,3.4,-739.3
719.7,1.5,-738.8000000000001
717.3000000000001,1.5,-739.3
716.3000000000001,2.4,-740.7
715.3000000000001,2.4,-742.1999999999999
717.8,1.0,-738.3
719.1999999999999,2.4,-737.8
716.8,1.0,-740.1999999999999
716.3000000000001,0.5,-741.1999999999999
715.3000000000001,0.5,-740.7
717.3000000000001,1.5,-739.7
718.8,1.0,-741.7
715.8,2.4,-741.1999999999999
716.3000000000001,0.5,-741.1999999999999
718.3000000000001,1.5,-736.3
717.3000000000001,0.5,-741.1999999999999
715.8,1.5,-741.1999999999999
715.3000000000001,1.5,-736.3
718.8,2.9,-738.3
720.1999999999999,1.5,-739.7
720.1999999999999,3.9,-740.1999999999999
717.8,0.5,-740.1999999999999
717.8,1.5,-741.1999999999999
717.8,2.4,-738.8000000000001
716.3000000000001,5.4,-740.7
719.1999999999999,1.5,-738.8000000000001
717.3000000000001,1.0,-741.1999999999999
716.3000000000001,-0.0,-741.7
717.3000000000001,2.4,-738.8000000000001
717.8,1.5,-738.3
717.8,1.0,-740.7
718.8,2.0,-739.3
718.3000000000001,-0.0,-739.3
717.8,-0.0,-740.1999999999999
718.8,2.0,-741.1999999999999
717.3000000000001,1.5,-738.3
715.8,1.5,-740.1999999999999
716.8,-0.0,-737.3
717.3000000000001,1.5,-739.3
716.8,0.5,-741.7
716.3000000000001,1.0,-738.8000000000001
718.8,1.5,-740.7
717.3000000000001,-0.5,-735.8
716.3000000000001,0.5,-740.1999999999999
716.3000000000001,1.0,-736.8
714.8,-0.5,-739.3
714.8,0.5,-741.7
718.3000000000001,0.5,-739.3
717.8,1.0,-741.1999999999999
716.8,0.5,-737.3
717.3000000000001,1.0,-736.8
717.8,0.5,-742.1999999999999
718.3000000000001,1.5,-738.3
715.3000000000001,-2.0,-739.7
716.3000000000001,0.5,-738.8000000000001
715.3000000000001,2.0,-735.8
717.3000000000001,2.9,-735.4000000000001
718.8,1.0,-739.3
717.8,0.5,-736.3
716.3000000000001,1.0,-739.3
716.8,0.5,-739.7
716.8,2.9,-739.3
717.3000000000001,1.5,-743.1999999999999
718.3000000000001,-0.0,-740.7
717.8,2.0,-740.7
717.3000000000001,2.9,-739.3
716.3000000000001,2.4,-737.8
717.8,1.0,-738.8000000000001
717.8,2.0,-736.3
718.3000000000001,0.5,-735.8
718.8,-0.0,-739.7
715.8,1.5,-736.8
716.3000000000001,1.0,-737.8
716.8,1.5,-739.7
716.8,1.0,-740.7
718.8,1.0,-743.7
718.3000000000001,2.0,-742.1999999999999
718.8,2.4,-739.7
717.3000000000001,1.0,-742.1999999999999
717.3000000000001,-0.5,-738.8000000000001
716.8,2.0,-735.8
715.8,0.5,-737.3
718.3000000000001,2.0,-739.3
717.8,1.0,-739.7
715.8,3.4,-740.7
715.3000000000001,1.0,-738.8000000000001
716.3000000000001,0.5,-741.1999999999999
716.8,-0.0,-737.3
715.8,1.5,-738.8000000000001
716.8,1.0,-738.3
716.8,-0.5,-743.7
717.8,-0.5,-743.7
716.8,1.0,-740.1999999999999
718.3000000000001,2.9,-739.3
716.3000000000001,1.5,-743.7
717.3000000000001,1.0,-742.7
718.3000000000001,1.5,-742.1999999999999
719.7,2.0,-739.3
718.3000000000001,0.5,-740.1999999999999
717.8,1.5,-737.8
715.8,-0.5,-737.8
716.8,0.5,-740.1999999999999
718.3000000000001,1.5,-737.8
716.8,2.0,-739.7
716.8,1.5,-738.8000000000001
716.3000000000001,2.0,-738.3
716.8,1.0,-736.3
718.3000000000001,0.5,-738.3
717.8,-0.5,-738.8000000000001
718.3000000000001,1.0,-736.8
719.7,2.0,-740.7
716.3000000000001,1.0,-738.8000000000001
718.3000000000001,1.5,-738.3
718.3000000000001,2.0,-742.1999999999999
717.3000000000001,-1.0,-741.1999999999999
715.3000000000001,0.5,-740.1999999999999
717.3000000000001,-1.0,-739.7
716.3000000000001,0.5,-734.9
716.3000000000001,1.5,-736.8
716.3000000000001,-1.5,-737.8
716.3000000000001,0.5,-740.1999999999999
716.8,2.4,-737.8
716.3000000000001,3.4,-739.7
716.8,1.0,-740.1999999999999
716.8,1.0,-738.3
716.8,2.0,-734.9
718.8,2.4,-740.7
716.3000000000001,2.0,-737.8
718.8,1.5,-739.3
718.8,1.5,-738.3
716.8,1.5,-739.7
716.3000000000001,1.0,-739.3
717.3000000000001,2.4,-739.3
718.3000000000001,2.4,-740.1999999999999
717.3000000000001,2.0,-741.1999999999999
717.8,-0.5,-742.7
717.3000000000001,-1.0,-738.8000000000001
716.3000000000001,-0.5,-738.8000000000001
717.3000000000001,1.5,-740.7
718.8,1.5,-738.3
716.3000000000001,0.5,-740.1999999999999
718.3000000000001,-1.0,-741.1999999999999
718.3000000000001,1.0,-739.7
716.3000000000001,2.0,-738.3
717.8,3.4,-736.8
716.8,1.5,-739.7
718.8,-0.0,-738.3
717.8,-0.0,-737.8
717.8,2.0,-739.3
716.3000000000001,2.0,-738.3
718.3000000000001,2.9,-739.7
716.8,1.0,-740.1999999999999
717.8,2.4,-741.7
718.8,2.4,-741.1999999999999
718.8,-0.0,-739.3
718.3000000000001,0.5,-741.1999999999999
717.8,-0.0,-739.3
719.1999999999999,2.9,-740.1999999999999
718.3000000000001,1.5,-737.3
718.3000000000001,1.0,-737.3
717.3000000000001,0.5,-737.8
718.8,-0.5,-736.3
718.3000000000001,-0.5,-738.3
715.3000000000001,-0.0,-739.3
716.3000000000001,-0.0,-743.1999999999999
716.8,1.0,-743.1999999999999
716.8,1.5,-740.1999999999999
715.8,1.0,-738.8000000000001
715.8,-0.0,-740.1999999999999
715.8,2.4,-742.7
717.8,1.0,-742.7
715.8,2.0,-741.7
716.8,2.9,-737.8
717.3000000000001,-0.0,-738.3
717.3000000000001,-0.0,-740.7
715.8,1.0,-740.1999999999999
716.8,2.0,-739.7
716.3000000000001,1.0,-740.1999999999999
716.8,2.0,-738.8000000000001
717.8,1.0,-740.1999999999999
718.3000000000001,2.0,-736.3
716.3000000000001,0.5,-738.3
716.8,0.5,-738.8000000000001
717.3000000000001,0.5,-740.7
716.8,0.5,-737.3
717.3000000000001,-1.0,-737.3
718.3000000000001,-0.5,-737.8
715.8,1.5,-738.3
716.8,1.0,-740.1999999999999
717.3000000000001,-0.5,-738.3
717.8,1.5,-735.4000000000001
718.3000000000001,2.4,-737.8
718.8,-0.0,-737.8
718.3000000000001,-1.0,-739.7
718.3000000000001,0.5,-740.1999999999999
718.3000000000001,2.0,-739.7
717.3000000000001,2.0,-735.8
716.8,2.9,-735.4000000000001
718.3000000000001,0.5,-739.7
717.3000000000001,-0.5,-738.8000000000001
717.3000000000001,2.0,-739.3
717.3000000000001,2.4,-741.7
717.8,0.5,-740.7
715.8,1.0,-738.8000000000001
716.8,0.5,-738.8000000000001
717.3000000000001,-0.0,-737.8
716.8,2.0,-739.7
717.3000000000001,1.5,-740.1999999999999
719.1999999999999,1.0,-736.8
715.8,2.0,-738.3
715.3000000000001,0.5,-740.1999999999999
716.8,2.0,-740.7
717.8,2.4,-738.8000000000001
716.3000000000001,1.0,-738.8000000000001
715.3000000000001,1.5,-739.3
715.8,1.0,-740.7
716.3000000000001,1.0,-739.3
717.3000000000001,2.4,-739.3
716.3000000000001,1.5,-740.1999999999999
717.3000000000001,2.0,-739.7
717.8,1.0,-740.7
715.8,1.5,-741.1999999999999
716.8,-1.0,-740.7
717.8,-0.0,-740.7
717.3000000000001,1.0,-740.7
716.3000000000001,2.0,-741.1999999999999
716.8,2.9,-738.3
717.3000000000001,4.4,-737.3
714.8,2.0,-737.8
716.3000000000001,1.0,-736.8
715.8,2.4,-738.8000000000001
716.8,2.4,-742.1999999999999
717.3000000000001,-0.0,-741.1999999999999
718.3000000000001,1.5,-737.8
718.8,3.4,-738.3
716.3000000000001,1.5,-741.7
716.3000000000001,1.5,-743.1999999999999
718.3000000000001,-0.5,-740.7
717.3000000000001,2.0,-739.3
717.8,1.0,-739.7
716.8,2.0,-742.7
716.8,2.9,-739.7
716.3000000000001,2.9,-736.8
717.8,1.5,-736.3
717.8,1.0,-738.3
716.3000000000001,1.5,-739.7
716.8,-0.5,-738.8000000000001
716.8,-1.5,-740.7
716.3000000000001,2.0,-740.1999999999999
715.3000000000001,2.0,-740.7
717.3000000000001,2.9,-740.1999999999999
715.3000000000001,2.0,-738.8000000000001
716.8,3.9,-741.7
715.3000000000001,2.0,-739.3
715.8,1.5,-734.9
716.8,1.0,-737.8
716.3000000000001,0.5,-736.3
715.3000000000001,-0.0,-739.7
716.3000000000001,0.5,-738.3
718.8,2.4,-737.8
718.8,2.4,-739.7
716.3000000000001,2.0,-742.7
715.8,1.5,-742.7
715.8,2.0,-737.8
717.3000000000001,1.0,-739.3
716.8,1.5,-738.8000000000001
716.8,2.9,-738.3
717.3000000000001,2.9,-740.7
718.8,3.9,-743.1999999999999
717.3000000000001,1.0,-739.7
717.3000000000001,-0.0,-740.1999999999999
716.3000000000001,1.0,-739.3
717.8,1.0,-742.1999999999999
718.3000000000001,2.4,-742.1999999999999
716.3000000000001,2.0,-740.7
716.8,1.5,-740.7
716.3000000000001,-0.0,-740.1999999999999
717.8,1.5,-739.3
717.8,0.5,-737.8
715.3000000000001,0.5,-739.3
716.8,1.0,-738.3
717.3000000000001,0.5,-740.1999999999999
717.8,1.5,-739.3
715.3000000000001,2.9,-738.3
717.8,1.5,-739.3
717.8,-0.0,-740.1999999999999
717.3000000000001,-0.0,-738.8000000000001
715.8,-0.5,-740.7
715.8,2.0,-742.1999999999999
716.3000000000001,2.4,-738.3
715.8,1.0,-742.7
717.3000000000001,2.9,-737.8
716.8,1.5,-737.3
717.3000000000001,2.0,-738.8000000000001
717.3000000000001,1.5,-743.7
718.3000000000001,0.5,-738.8000000000001
718.3000000000001,1.5,-738.3
718.8,2.4,-739.7
717.3000000000001,-0.5,-741.7
717.3000000000001,0.5,-741.7
716.3000000000001,2.9,-738.8000000000001
717.3000000000001,1.5,-739.7
717.8,0.5,-740.1999999999999
716.3000000000001,0.5,-741.1999999999999
717.3000000000001,2.0,-740.7
717.8,1.0,-738.8000000000001
718.3000000000001,2.0,-738.8000000000001
717.8,1.5,-741.7
717.3000000000001,-0.5,-743.7
718.3000000000001,1.0,-740.1999999999999
719.1999999999999,1.5,-737.8
717.8,0.5,-736.8
718.3000000000001,0.5,-740.1999999999999
716.8,1.5,-739.3
716.8,1.0,-739.7
719.1999999999999,0.5,-741.1999999999999
719.7,-0.0,-741.1999999999999
717.8,1.0,-737.8
717.8,2.9,-739.3
717.8,2.0,-741.1999999999999
718.8,0.5,-741.7
719.1999999999999,-0.5,-740.1999999999999
719.1999999999999,0.5,-739.7
719.7,2.4,-741.7
718.8,1.0,-739.7
719.1999999999999,-1.0,-738.3
717.3000000000001,0.5,-740.1999999999999
715.3000000000001,0.5,-740.7
714.8,-0.0,-742.1999999999999
716.3000000000001,-0.5,-739.3
717.8,1.5,-740.7
716.8,1.5,-740.7
716.3000000000001,1.0,-738.8000000000001
718.8,0.5,-737.3
717.3000000000001,0.5,-738.3
716.3000000000001,1.5,-737.8
717.8,-0.5,-736.3
717.3000000000001,0.5,-738.8000000000001
717.8,0.5,-738.8000000000001
717.8,1.0,-739.7
717.3000000000001,1.5,-739.3
717.3000000000001,1.5,-740.1999999999999
717.3000000000001,2.4,-739.7
716.8,3.9,-740.1999999999999
717.3000000000001,1.0,-737.8
716.8,0.5,-737.8
718.3000000000001,-1.0,-741.1999999999999
716.8,1.5,-738.8000000000001
717.3000000000001,1.0,-739.7
718.3000000000001,1.5,-738.8000000000001
717.3000000000001,2.9,-740.1999999999999
717.3000000000001,2.0,-738.8000000000001
717.8,2.0,-737.8
717.8,2.0,-739.7
718.3000000000001,2.4,-734.9
718.8,0.5,-736.8
717.3000000000001,1.5,-741.1999999999999
716.3000000000001,-1.0,-740.1999999999999
718.3000000000001,-0.5,-741.7
717.8,1.5,-741.1999999999999
717.8,1.5,-741.7
716.8,2.9,-739.3
717.8,1.0,-741.7
717.3000000000001,2.0,-738.8000000000001
718.8,1.5,-743.1999999999999
717.8,2.9,-740.1999999999999
718.8,2.4,-740.7
716.8,3.4,-743.7
716.8,3.4,-738.8000000000001
718.3000000000001,2.0,-743.1999999999999
717.8,2.9,-738.8000000000001
716.8,1.0,-739.7
716.8,1.0,-737.8
717.3000000000001,2.0,-739.7
715.3000000000001,2.4,-739.3
714.8,1.5,-739.7
717.8,0.5,-738.8000000000001
716.3000000000001,1.0,-738.8000000000001
719.1999999999999,1.0,-738.3
718.3000000000001,2.0,-739.7
716.8,1.0,-741.1999999999999
715.3000000000001,2.0,-739.7
715.8,-1.0,-738.8000000000001
717.8,1.0,-736.8
717.8,1.5,-734.9
718.3000000000001,1.5,-740.1999999999999
716.8,1.5,-737.8
718.3000000000001,1.0,-741.7
718.3000000000001,-1.0,-737.8
715.8,-1.0,-740.1999999999999
715.8,2.4,-739.3
717.3000000000001,2.4,-740.7
716.8,0.5,-740.7
717.3000000000001,2.4,-738.8000000000001
716.8,1.0,-739.3
718.8,1.0,-739.3
718.8,3.4,-739.3
718.8,1.5,-739.3
717.3000000000001,2.4,-740.1999999999999
716.8,-0.0,-738.8000000000001
718.3000000000001,1.5,-738.8000000000001
716.8,1.0,-738.3
714.8,1.0,-738.8000000000001
715.3000000000001,2.0,-739.7
716.3000000000001,0.5,-738.3
715.3000000000001,-0.0,-737.8
715.3000000000001,1.0,-740.1999999999999
718.3000000000001,0.5,-741.1999999999999
717.8,-0.0,-734.4000000000001
716.8,2.0,-738.3
716.3000000000001,0.5,-738.8000000000001
716.8,1.0,-738.3
718.3000000000001,1.5,-740.1999999999999
716.8,2.9,-739.3
716.3000000000001,2.9,-738.8000000000001
716.3000000000001,-0.0,-737.8
719.1999999999999,0.5,-737.8
716.3000000000001,-0.5,-738.3
719.7,0.5,-738.3
715.8,1.5,-738.3
716.8,2.4,-739.7
717.8,1.5,-738.3
717.8,0.5,-738.8000000000001
718.3000000000001,1.0,-740.1999999999999
718.8,0.5,-742.1999999999999
717.3000000000001,1.5,-741.7
718.8,0.5,-741.1999999999999
716.3000000000001,0.5,-739.3
719.7,2.0,-742.1999999999999
719.1999999999999,1.0,-740.7
716.3000000000001,2.4,-740.7
717.3000000000001,1.0,-740.7
718.8,1.5,-741.1999999999999
717.8,2.4,-738.3
718.3000000000001,1.0,-737.3
718.3000000000001,0.5,-736.3
717.3000000000001,-0.0,-740.7
717.3000000000001,-0.0,-741.1999999999999
716.8,0.5,-740.1999999999999
716.8,0.5,-736.8
718.8,0.5,-736.8
717.3000000000001,1.5,-739.7
717.8,1.5,-740.7
716.8,-0.0,-738.8000000000001
716.3000000000001,-0.0,-739.7
717.8,-0.5,-738.3
716.3000000000001,-0.0,-740.7
717.3000000000001,-0.0,-736.8
717.8,1.5,-739.3
717.8,2.0,-735.8
717.8,2.9,-739.3
716.3000000000001,2.4,-739.3
715.8,2.4,-740.7
717.8,3.4,-738.3
716.8,2.4,-739.7
715.3000000000001,1.0,-740.1999999999999
715.3000000000001,-0.0,-738.8000000000001
716.8,2.0,-741.7
716.8,1.0,-740.7
716.3000000000001,1.5,-740.1999999999999
717.8,1.0,-742.1999999999999
716.3000000000001,0.5,-743.1999999999999
716.8,0.5,-741.1999999999999
718.3000000000001,2.0,-742.1999999999999
715.8,2.9,-738.8000000000001
718.3000000000001,-0.5,-742.1999999999999
717.8,-0.0,-743.1999999999999
718.8,0.5,-740.7
717.3000000000001,2.0,-740.7
715.8,2.9,-738.3
716.3000000000001,2.0,-737.3
716.8,1.0,-740.1999999999999
716.3000000000001,1.5,-742.1999999999999
716.8,0.5,-737.3
715.8,1.0,-740.1999999999999
717.8,1.5,-740.7
716.3000000000001,2.0,-740.1999999999999
717.3000000000001,1.0,-742.7
716.3000000000001,2.4,-741.1999999999999
716.3000000000001,1.5,-741.1999999999999
718.3000000000001,1.0,-741.1999999999999
717.8,1.5,-741.1999999999999
718.3000000000001,1.5,-739.3
715.8,-0.5,-739.3
716.8,-0.0,-740.1999999999999
716.8,2.0,-738.3
718.8,1.0,-737.8
718.3000000000001,-1.0,-737.3
716.3000000000001,1.5,-738.3
716.3000000000001,1.5,-739.3
717.3000000000001,1.5,-744.1
718.3000000000001,-0.5,-740.1999999999999
716.8,0.5,-736.3
718.3000000000001,-0.0,-738.3
717.8,-0.0,-738.8000000000001
716.8,-0.0,-738.3
714.8,-0.5,-739.3
716.8,3.4,-739.3
717.8,2.0,-739.3
717.8,0.5,-740.1999999999999
717.3000000000001,2.0,-742.7
717.3000000000001,2.0,-740.1999999999999
719.1999999999999,1.0,-737.3
716.3000000000001,-0.0,-737.3
718.8,1.0,-737.8
